[1779615865] Trying slug: btc-updown-5m-1779615600
[1779615866] Market: Bitcoin Up or Down - May 24, 5:40AM-5:45AM ET | Bid: 50¢
[1779615867] ⏱️ 33s | 💰 Price: 81¢ | Size: 23 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 246 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 225 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 86¢ | Size: 35 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 45 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11757 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 83¢ | Size: 205 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11752 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 65 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11757 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 2¢ | Size: 3390 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 1¢ | Size: 11257 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 60 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 84¢ | Size: 66 | Bid: 84¢ | Momentum: +1.20%
[1779615867] ⏱️ 33s | 💰 Price: 86¢ | Size: 5 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 85¢ | Size: 719 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11757 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 82¢ | Size: 6 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 60 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11257 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 10 | Bid: 84¢ | Momentum: +1.20%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 174 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 0 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 67¢ | Size: 32 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 3¢ | Size: 1177 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 85¢ | Size: 695 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 50 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 94 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 85¢ | Size: 722 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 186 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 203 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 222 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 257 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 279 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 296 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 313 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 348 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 94 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 354 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 378 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 81¢ | Size: 18 | Bid: 83¢ | Momentum: +0.00%
